https://bitcointalk.org/index.php?topic=77870.0
Name	Address	WinOdds	PriceMultiplier	HousePercentage	ExpectReturn	MinimumBet	MaximumBet
lessthan 64000   1dice9wVtrKZTBbAZqz1XiTmboYyvpD3t    97.6563%   1.004x   1.900%   98.100%   0.0100   500.0000
lessthan 60000   1diceDCd27Cc22HV3qPNZKwGnZ8QwhLTc    91.5527%   1.071x   1.900%   98.100%   0.0100   500.0000
lessthan 56000   1dicegEArYHgbwQZhvr5G9Ah2s7SFuW1y    85.4492%   1.147x   1.900%   98.100%   0.0100   500.0000
lessthan 52000   1dicec9k7KpmQaA8Uc8aCCxfWnwEWzpXE    79.3457%   1.235x   1.900%   98.100%   0.0100   500.0000
lessthan 48000   1dice9wcMu5hLF4g81u8nioL5mmSHTApw    73.2422%   1.338x   1.900%   98.100%   0.0100   500.0000
lessthan 32768   1dice97ECuByXAvqXpaYzSaQuPVvrtmz6    50.0000%   1.957x   1.900%   98.100%   0.0100   463.5871
lessthan 32000   1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp    48.8281%   2.004x   1.900%   98.100%   0.0100   441.9523
lessthan 24000   1dice7W2AicHosf5EL3GFDUVga7TgtPFn    36.6211%   2.670x   1.900%   98.100%   0.0100   396.0801
lessthan 16000   1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx    24.4141%   4.003x   1.900%   98.100%   0.0100   321.1334
lessthan 12000   1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1    18.3105%   5.335x   1.900%   98.100%   0.0100   222.4240
lessthan 8000   1dice6YgEVBf88erBFra9BHf6ZMoyvG88    12.2070%   8.000x   1.900%   98.100%   0.0100   176.8535
lessthan 6000   1dice6wBxymYi3t94heUAG6MpG5eceLG1    9.1553%   10.666x   1.900%   98.100%   0.0100   176.7836
lessthan 4000   1dice6GV5Rz2iaifPvX7RMjfhaNPC8SXH    6.1035%   15.996x   1.900%   98.100%   0.0100   113.9458
lessthan 3000   1dice6gJgPDYz8PLQyJb8cgPBnmWqCSuF    4.5776%   21.326x   1.900%   98.100%   0.0100   84.0648
lessthan 2000   1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN    3.0518%   31.987x   1.900%   98.100%   0.0100   86.8392
lessthan 1500   1dice61SNWEKWdA8LN6G44ewsiQfuCvge    2.2888%   42.647x   1.900%   98.100%   0.0100   64.6107
lessthan 1000   1dice5wwEZT2u6ESAdUGG6MHgCpbQqZiy    1.5259%   63.968x   1.900%   98.100%   0.0100   42.7335
lessthan 512   1dice4J1mFEvVuFqD14HzdViHFGi9h4Pp    0.7813%   124.933x   1.900%   98.100%   0.0100   21.7121
lessthan 256   1dice3jkpTvevsohA4Np1yP4uKzG1SRLv    0.3906%   249.861x   1.900%   98.100%   0.0100   10.8126
lessthan 128   1dice37EemX64oHssTreXEFT3DXtZxVXK    0.1953%   499.717x   1.900%   98.100%   0.0100   5.3955
lessthan 64   1dice2zdoxQHpGRNaAWiqbK82FQhr4fb5    0.0977%   999.429x   1.900%   98.100%   0.0100   4.6861
lessthan 32   1dice2xkjAAiphomEJA5NoowpuJ18HT1s    0.0488%   1998.853x   1.900%   98.100%   0.0100   2.3419
lessthan 16   1dice2WmRTLf1dEk4HH3Xs8LDuXzaHEQU    0.0244%   3997.701x   1.900%   98.100%   0.0100   1.1706
lessthan 8   1dice2vQoUkQwDMbfDACM1xz6svEXdhYb    0.0122%   7995.397x   1.900%   98.100%   0.0100   0.5852
lessthan 4   1dice2pxmRZrtqBVzixvWnxsMa7wN2GCK    0.0061%   15990.789x   1.900%   98.100%   0.0100   0.2926
lessthan 2   1dice1Qf4Br5EYjj9rnHWqgMVYnQWehYG    0.0031%   31981.573x   1.900%   98.100%   0.0100   0.1463
lessthan 1   1dice1e6pdhLzzWQq7yMidf6j8eAg7pkY    0.0015%   64000.000x   1.844%   98.156%   0.0100   0.0731
