addressId,satoshiAddress,diceName,bet_count,total_bet_amount_btc
3557467,1dice1Qf4Br5EYjj9rnHWqgMVYnQWehYG,lessthan 2,3511,59.85865123
3542581,1dice2pxmRZrtqBVzixvWnxsMa7wN2GCK,lessthan 4,5451,72.66140496
3534955,1dice2vQoUkQwDMbfDACM1xz6svEXdhYb,lessthan 8,8139,116.48066392
3523985,1dice2xkjAAiphomEJA5NoowpuJ18HT1s,lessthan 32,9623,513.8503580600001
3526418,1dice2WmRTLf1dEk4HH3Xs8LDuXzaHEQU,lessthan 16,9669,236.8051771
3521428,1dice9wVtrKZTBbAZqz1XiTmboYyvpD3t,lessthan 64000,11557,21430.39172081
3524641,1dice2zdoxQHpGRNaAWiqbK82FQhr4fb5,lessthan 64,12576,849.6784909
3524166,1dice37EemX64oHssTreXEFT3DXtZxVXK,lessthan 128,15490,1810.45842063
3552405,1dice3jkpTvevsohA4Np1yP4uKzG1SRLv,lessthan 256,17256,1924.57154154
3577280,1dice61SNWEKWdA8LN6G44ewsiQfuCvge,lessthan 1500,19852,6009.42077754
3572642,1dice6gJgPDYz8PLQyJb8cgPBnmWqCSuF,lessthan 3000,22830,8244.54982201
3545893,1dice4J1mFEvVuFqD14HzdViHFGi9h4Pp,lessthan 512,24525,3851.22538752
3541441,1dice6GV5Rz2iaifPvX7RMjfhaNPC8SXH,lessthan 4000,28551,6076.82731381
5028570,1dicegEArYHgbwQZhvr5G9Ah2s7SFuW1y,lessthan 56000,31425,44591.53747032
3532515,1dice6wBxymYi3t94heUAG6MpG5eceLG1,lessthan 6000,32209,12818.68607197
5028176,1diceDCd27Cc22HV3qPNZKwGnZ8QwhLTc,lessthan 60000,37234,47565.90936991
5029468,1dicec9k7KpmQaA8Uc8aCCxfWnwEWzpXE,lessthan 52000,41781,46535.54865961
3517234,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,lessthan 2000,42163,17489.32963033
3535501,1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1,lessthan 12000,48532,67512.17269093
3525858,1dice1e6pdhLzzWQq7yMidf6j8eAg7pkY,lessthan 1,60417,570.57284641
3526385,1dice5wwEZT2u6ESAdUGG6MHgCpbQqZiy,lessthan 1000,72019,17856.64070235
3524243,1dice7W2AicHosf5EL3GFDUVga7TgtPFn,lessthan 24000,125197,144823.53907349
3525822,1dice6YgEVBf88erBFra9BHf6ZMoyvG88,lessthan 8000,130621,45925.44134831
3534212,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx,lessthan 16000,154832,147341.36043673
3517367,1dice9wcMu5hLF4g81u8nioL5mmSHTApw,lessthan 48000,235719,244574.31085488
3517636,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6,lessthan 32768,346206,371764.27300268
3524394,1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp,lessthan 32000,810212,528711.49588214
