period,total_transactions,bet_transactions,bet_percentage
2009-01-03,1,0,0.0
2009-01-09,14,0,0.0
2009-01-10,61,0,0.0
2009-01-11,93,0,0.0
2009-01-12,101,0,0.0
2009-01-13,123,0,0.0
2009-01-14,130,0,0.0
2009-01-15,134,0,0.0
2009-01-16,110,0,0.0
2009-01-17,109,0,0.0
2009-01-18,108,0,0.0
2009-01-19,117,0,0.0
2009-01-20,115,0,0.0
2009-01-21,103,0,0.0
2009-01-22,92,0,0.0
2009-01-23,86,0,0.0
2009-01-24,202,0,0.0
2009-01-25,192,0,0.0
2009-01-26,97,0,0.0
2009-01-27,98,0,0.0
2009-01-28,112,0,0.0
2009-01-29,122,0,0.0
2009-01-30,117,0,0.0
2009-01-31,139,0,0.0
2009-02-01,114,0,0.0
2009-02-02,129,0,0.0
2009-02-03,155,0,0.0
2009-02-04,119,0,0.0
2009-02-05,126,0,0.0
2009-02-06,122,0,0.0
2009-02-07,133,0,0.0
2009-02-08,133,0,0.0
2009-02-09,135,0,0.0
2009-02-10,120,0,0.0
2009-02-11,135,0,0.0
2009-02-12,119,0,0.0
2009-02-13,124,0,0.0
2009-02-14,136,0,0.0
2009-02-15,131,0,0.0
2009-02-16,123,0,0.0
2009-02-17,117,0,0.0
2009-02-18,118,0,0.0
2009-02-19,125,0,0.0
2009-02-20,122,0,0.0
2009-02-21,114,0,0.0
2009-02-22,125,0,0.0
2009-02-23,108,0,0.0
2009-02-24,106,0,0.0
2009-02-25,105,0,0.0
2009-02-26,107,0,0.0
2009-02-27,116,0,0.0
2009-02-28,100,0,0.0
2009-03-01,105,0,0.0
2009-03-02,108,0,0.0
2009-03-03,107,0,0.0
2009-03-04,106,0,0.0
2009-03-05,113,0,0.0
2009-03-06,117,0,0.0
2009-03-07,109,0,0.0
2009-03-08,118,0,0.0
2009-03-09,108,0,0.0
2009-03-10,107,0,0.0
2009-03-11,114,0,0.0
2009-03-12,119,0,0.0
2009-03-13,114,0,0.0
2009-03-14,110,0,0.0
2009-03-15,123,0,0.0
2009-03-16,122,0,0.0
2009-03-17,114,0,0.0
2009-03-18,116,0,0.0
2009-03-19,122,0,0.0
2009-03-20,119,0,0.0
2009-03-21,50,0,0.0
2009-03-22,121,0,0.0
2009-03-23,130,0,0.0
2009-03-24,105,0,0.0
2009-03-25,117,0,0.0
2009-03-26,118,0,0.0
2009-03-27,106,0,0.0
2009-03-28,122,0,0.0
2009-03-29,116,0,0.0
2009-03-30,120,0,0.0
2009-03-31,111,0,0.0
2009-04-01,114,0,0.0
2009-04-02,115,0,0.0
2009-04-03,116,0,0.0
2009-04-04,113,0,0.0
2009-04-05,132,0,0.0
2009-04-06,109,0,0.0
2009-04-07,100,0,0.0
2009-04-08,105,0,0.0
2009-04-09,99,0,0.0
2009-04-10,108,0,0.0
2009-04-11,121,0,0.0
2009-04-12,120,0,0.0
2009-04-13,116,0,0.0
2009-04-14,124,0,0.0
2009-04-15,113,0,0.0
2009-04-16,123,0,0.0
2009-04-17,112,0,0.0
2009-04-18,130,0,0.0
2009-04-19,120,0,0.0
2009-04-20,121,0,0.0
2009-04-21,124,0,0.0
2009-04-22,121,0,0.0
2009-04-23,75,0,0.0
2009-04-24,115,0,0.0
2009-04-25,118,0,0.0
2009-04-26,114,0,0.0
2009-04-27,104,0,0.0
2009-04-28,117,0,0.0
2009-04-29,129,0,0.0
2009-04-30,131,0,0.0
2009-05-01,121,0,0.0
2009-05-02,128,0,0.0
2009-05-03,109,0,0.0
2009-05-04,129,0,0.0
2009-05-05,136,0,0.0
2009-05-06,135,0,0.0
2009-05-07,122,0,0.0
2009-05-08,107,0,0.0
2009-05-09,78,0,0.0
2009-05-10,85,0,0.0
2009-05-11,121,0,0.0
2009-05-12,130,0,0.0
