period,total_transactions,bet_transactions,bet_percentage
2009-01,2576,0,0.0
2009-02,3417,0,0.0
2009-03,3487,0,0.0
2009-04,3459,0,0.0
2009-05,3401,0,0.0
2009-06,2244,0,0.0
2009-07,1930,0,0.0
2009-08,1570,0,0.0
2009-09,2170,0,0.0
2009-10,2139,0,0.0
2009-11,2232,0,0.0
2009-12,4084,0,0.0
2010-01,5056,0,0.0
2010-02,5751,0,0.0
2010-03,5398,0,0.0
2010-04,9631,0,0.0
2010-05,6212,0,0.0
2010-06,6678,0,0.0
2010-07,26488,0,0.0
2010-08,11968,0,0.0
2010-09,13185,0,0.0
2010-10,14386,0,0.0
2010-11,63410,0,0.0
2010-12,17142,0,0.0
2011-01,34900,0,0.0
2011-02,47168,0,0.0
2011-03,83222,0,0.0
2011-04,73936,0,0.0
2011-05,136636,0,0.0
2011-06,317482,0,0.0
2011-07,267260,0,0.0
2011-08,236300,0,0.0
2011-09,194707,0,0.0
2011-10,168707,0,0.0
2011-11,169012,0,0.0
2011-12,172435,0,0.0
2012-01,199876,0,0.0
2012-02,208362,0,0.0
2012-03,203391,0,0.0
2012-04,225197,3983,1.7686736501818408
2012-05,660620,210697,31.89382701098968
2012-06,986424,306773,31.099506905752495
2012-07,899998,197490,21.943382096404658
2012-08,1097435,251997,22.962362235576595
2012-09,946045,221425,23.405334841365896
2012-10,935239,228474,24.429477384925136
2012-11,944891,242233,25.636078658808266
2012-12,1145572,302745,26.427409189470414
