period,total_transactions,bet_transactions,bet_percentage
2008-12-29/2009-01-04,1,0,0.0
2009-01-05/2009-01-11,168,0,0.0
2009-01-12/2009-01-18,815,0,0.0
2009-01-19/2009-01-25,907,0,0.0
2009-01-26/2009-02-01,799,0,0.0
2009-02-02/2009-02-08,917,0,0.0
2009-02-09/2009-02-15,900,0,0.0
2009-02-16/2009-02-22,844,0,0.0
2009-02-23/2009-03-01,747,0,0.0
2009-03-02/2009-03-08,778,0,0.0
2009-03-09/2009-03-15,795,0,0.0
2009-03-16/2009-03-22,764,0,0.0
2009-03-23/2009-03-29,814,0,0.0
2009-03-30/2009-04-05,821,0,0.0
2009-04-06/2009-04-12,762,0,0.0
2009-04-13/2009-04-19,838,0,0.0
2009-04-20/2009-04-26,788,0,0.0
2009-04-27/2009-05-03,839,0,0.0
2009-05-04/2009-05-10,792,0,0.0
2009-05-11/2009-05-17,892,0,0.0
2009-05-18/2009-05-24,599,0,0.0
2009-05-25/2009-05-31,760,0,0.0
2009-06-01/2009-06-07,394,0,0.0
2009-06-08/2009-06-14,580,0,0.0
2009-06-15/2009-06-21,560,0,0.0
2009-06-22/2009-06-28,540,0,0.0
2009-06-29/2009-07-05,579,0,0.0
2009-07-06/2009-07-12,554,0,0.0
2009-07-13/2009-07-19,384,0,0.0
2009-07-20/2009-07-26,415,0,0.0
2009-07-27/2009-08-02,219,0,0.0
2009-08-03/2009-08-09,532,0,0.0
2009-08-10/2009-08-16,401,0,0.0
2009-08-17/2009-08-23,103,0,0.0
2009-08-24/2009-08-30,396,0,0.0
2009-08-31/2009-09-06,501,0,0.0
2009-09-07/2009-09-13,480,0,0.0
2009-09-14/2009-09-20,506,0,0.0
2009-09-21/2009-09-27,510,0,0.0
2009-09-28/2009-10-04,526,0,0.0
2009-10-05/2009-10-11,460,0,0.0
2009-10-12/2009-10-18,449,0,0.0
2009-10-19/2009-10-25,608,0,0.0
2009-10-26/2009-11-01,381,0,0.0
2009-11-02/2009-11-08,420,0,0.0
2009-11-09/2009-11-15,539,0,0.0
2009-11-16/2009-11-22,605,0,0.0
2009-11-23/2009-11-29,568,0,0.0
2009-11-30/2009-12-06,537,0,0.0
2009-12-07/2009-12-13,770,0,0.0
2009-12-14/2009-12-20,1127,0,0.0
2009-12-21/2009-12-27,1138,0,0.0
2009-12-28/2010-01-03,1033,0,0.0
2010-01-04/2010-01-10,1192,0,0.0
2010-01-11/2010-01-17,1030,0,0.0
2010-01-18/2010-01-24,1045,0,0.0
2010-01-25/2010-01-31,1343,0,0.0
2010-02-01/2010-02-07,1500,0,0.0
2010-02-08/2010-02-14,1407,0,0.0
2010-02-15/2010-02-21,1483,0,0.0
2010-02-22/2010-02-28,1361,0,0.0
2010-03-01/2010-03-07,1277,0,0.0
2010-03-08/2010-03-14,987,0,0.0
2010-03-15/2010-03-21,1113,0,0.0
2010-03-22/2010-03-28,1379,0,0.0
2010-03-29/2010-04-04,1331,0,0.0
2010-04-05/2010-04-11,1541,0,0.0
2010-04-12/2010-04-18,4804,0,0.0
2010-04-19/2010-04-25,1576,0,0.0
2010-04-26/2010-05-02,1411,0,0.0
2010-05-03/2010-05-09,1227,0,0.0
2010-05-10/2010-05-16,1012,0,0.0
2010-05-17/2010-05-23,1615,0,0.0
2010-05-24/2010-05-30,1774,0,0.0
2010-05-31/2010-06-06,1369,0,0.0
2010-06-07/2010-06-13,1568,0,0.0
2010-06-14/2010-06-20,1557,0,0.0
2010-06-21/2010-06-27,1611,0,0.0
2010-06-28/2010-07-04,1802,0,0.0
2010-07-05/2010-07-11,1762,0,0.0
2010-07-12/2010-07-18,13250,0,0.0
2010-07-19/2010-07-25,5110,0,0.0
2010-07-26/2010-08-01,5695,0,0.0
2010-08-02/2010-08-08,3023,0,0.0
2010-08-09/2010-08-15,2833,0,0.0
2010-08-16/2010-08-22,2604,0,0.0
2010-08-23/2010-08-29,2374,0,0.0
2010-08-30/2010-09-05,2375,0,0.0
2010-09-06/2010-09-12,2267,0,0.0
2010-09-13/2010-09-19,2843,0,0.0
2010-09-20/2010-09-26,4036,0,0.0
2010-09-27/2010-10-03,3896,0,0.0
2010-10-04/2010-10-10,2652,0,0.0
2010-10-11/2010-10-17,2651,0,0.0
2010-10-18/2010-10-24,4439,0,0.0
2010-10-25/2010-10-31,3182,0,0.0
2010-11-01/2010-11-07,2613,0,0.0
2010-11-08/2010-11-14,2761,0,0.0
2010-11-15/2010-11-21,45312,0,0.0
2010-11-22/2010-11-28,11816,0,0.0
2010-11-29/2010-12-05,3116,0,0.0
2010-12-06/2010-12-12,3613,0,0.0
2010-12-13/2010-12-19,3984,0,0.0
2010-12-20/2010-12-26,4489,0,0.0
2010-12-27/2011-01-02,4076,0,0.0
2011-01-03/2011-01-09,7790,0,0.0
2011-01-10/2011-01-16,8257,0,0.0
2011-01-17/2011-01-23,7158,0,0.0
2011-01-24/2011-01-30,9074,0,0.0
2011-01-31/2011-02-06,6786,0,0.0
2011-02-07/2011-02-13,11088,0,0.0
2011-02-14/2011-02-20,14148,0,0.0
2011-02-21/2011-02-27,14819,0,0.0
2011-02-28/2011-03-06,15723,0,0.0
2011-03-07/2011-03-13,15412,0,0.0
2011-03-14/2011-03-20,21683,0,0.0
2011-03-21/2011-03-27,22624,0,0.0
2011-03-28/2011-04-03,14656,0,0.0
2011-04-04/2011-04-10,13213,0,0.0
2011-04-11/2011-04-17,15701,0,0.0
2011-04-18/2011-04-24,18197,0,0.0
2011-04-25/2011-05-01,25618,0,0.0
2011-05-02/2011-05-08,22369,0,0.0
2011-05-09/2011-05-15,25366,0,0.0
2011-05-16/2011-05-22,34098,0,0.0
2011-05-23/2011-05-29,39454,0,0.0
2011-05-30/2011-06-05,50920,0,0.0
2011-06-06/2011-06-12,77302,0,0.0
2011-06-13/2011-06-19,85086,0,0.0
2011-06-20/2011-06-26,73466,0,0.0
2011-06-27/2011-07-03,69093,0,0.0
2011-07-04/2011-07-10,63039,0,0.0
2011-07-11/2011-07-17,61832,0,0.0
2011-07-18/2011-07-24,59812,0,0.0
2011-07-25/2011-07-31,55592,0,0.0
2011-08-01/2011-08-07,53960,0,0.0
2011-08-08/2011-08-14,54451,0,0.0
2011-08-15/2011-08-21,55628,0,0.0
2011-08-22/2011-08-28,49071,0,0.0
2011-08-29/2011-09-04,50602,0,0.0
2011-09-05/2011-09-11,48268,0,0.0
2011-09-12/2011-09-18,43417,0,0.0
2011-09-19/2011-09-25,46399,0,0.0
2011-09-26/2011-10-02,39620,0,0.0
2011-10-03/2011-10-09,40546,0,0.0
2011-10-10/2011-10-16,39416,0,0.0
2011-10-17/2011-10-23,36351,0,0.0
2011-10-24/2011-10-30,36803,0,0.0
2011-10-31/2011-11-06,40705,0,0.0
2011-11-07/2011-11-13,40073,0,0.0
2011-11-14/2011-11-20,38039,0,0.0
2011-11-21/2011-11-27,36176,0,0.0
2011-11-28/2011-12-04,42887,0,0.0
2011-12-05/2011-12-11,42697,0,0.0
2011-12-12/2011-12-18,35599,0,0.0
2011-12-19/2011-12-25,39201,0,0.0
2011-12-26/2012-01-01,36253,0,0.0
2012-01-02/2012-01-08,42861,0,0.0
2012-01-09/2012-01-15,46590,0,0.0
2012-01-16/2012-01-22,45746,0,0.0
2012-01-23/2012-01-29,46600,0,0.0
2012-01-30/2012-02-05,47805,0,0.0
2012-02-06/2012-02-12,50825,0,0.0
2012-02-13/2012-02-19,55607,0,0.0
2012-02-20/2012-02-26,47024,0,0.0
2012-02-27/2012-03-04,46413,0,0.0
2012-03-05/2012-03-11,43714,0,0.0
2012-03-12/2012-03-18,46565,0,0.0
2012-03-19/2012-03-25,45816,0,0.0
2012-03-26/2012-04-01,46625,0,0.0
2012-04-02/2012-04-08,47076,0,0.0
2012-04-09/2012-04-15,53672,0,0.0
2012-04-16/2012-04-22,54702,78,0.14259076450586816
2012-04-23/2012-04-29,54771,2996,5.4700480181117745
2012-04-30/2012-05-06,81847,14522,17.742861680941267
2012-05-07/2012-05-13,117117,31237,26.671618979311283
2012-05-14/2012-05-20,176942,62263,35.18836680946299
2012-05-21/2012-05-27,187830,67540,35.958047170313584
2012-05-28/2012-06-03,179767,61405,34.158104657695795
2012-06-04/2012-06-10,237110,88715,37.41512378221079
2012-06-11/2012-06-17,311683,104426,33.50391262917773
2012-06-18/2012-06-24,202321,54825,27.09802739211451
2012-06-25/2012-07-01,181116,35970,19.86020009275823
2012-07-02/2012-07-08,162951,31720,19.465974434032315
2012-07-09/2012-07-15,189450,36691,19.367115333861175
2012-07-16/2012-07-22,236450,58053,24.551913723831678
2012-07-23/2012-07-29,215969,50664,23.4589223453366
2012-07-30/2012-08-05,229724,51190,22.283261653114174
2012-08-06/2012-08-12,231263,53944,23.325823845578412
2012-08-13/2012-08-19,297491,66303,22.287396929655014
2012-08-20/2012-08-26,243178,55178,22.690374951681484
2012-08-27/2012-09-02,246043,61997,25.197628056884362
2012-09-03/2012-09-09,258229,64918,25.139701582703722
2012-09-10/2012-09-16,220759,54959,24.895474250200444
2012-09-17/2012-09-23,201140,44610,22.178582082131847
2012-09-24/2012-09-30,191555,38161,19.921693508391847
2012-10-01/2012-10-07,220658,53973,24.460024109708236
2012-10-08/2012-10-14,221768,57515,25.934760650770173
2012-10-15/2012-10-21,222229,53750,24.186762303749738
2012-10-22/2012-10-28,190582,42937,22.529409912793444
2012-10-29/2012-11-04,180833,44153,24.416450537236013
2012-11-05/2012-11-11,208886,57550,27.55091293815766
2012-11-12/2012-11-18,224659,59593,26.525979373183358
2012-11-19/2012-11-25,242548,59018,24.332503257087257
2012-11-26/2012-12-02,222065,56478,25.433093913944116
2012-12-03/2012-12-09,222300,56520,25.425101214574898
2012-12-10/2012-12-16,259106,64166,24.764382144759285
2012-12-17/2012-12-23,304115,85969,28.268582608552684
2012-12-24/2012-12-30,275889,74922,27.15657383947892
2012-12-31/2013-01-06,30064,6908,22.9776476849388
