Name,Address,WinOdds,PriceMultiplier,HousePercentage,ExpectReturn,MinimumBet,MaximumBet,addressId
lessthan 64000,1dice9wVtrKZTBbAZqz1XiTmboYyvpD3t,97.6563,1.004,1.9,98.1,0.01,500.0,3521428
lessthan 60000,1diceDCd27Cc22HV3qPNZKwGnZ8QwhLTc,91.5527,1.071,1.9,98.1,0.01,500.0,5028176
lessthan 56000,1dicegEArYHgbwQZhvr5G9Ah2s7SFuW1y,85.4492,1.147,1.9,98.1,0.01,500.0,5028570
lessthan 52000,1dicec9k7KpmQaA8Uc8aCCxfWnwEWzpXE,79.3457,1.235,1.9,98.1,0.01,500.0,5029468
lessthan 48000,1dice9wcMu5hLF4g81u8nioL5mmSHTApw,73.2422,1.338,1.9,98.1,0.01,500.0,3517367
lessthan 32768,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6,50.0,1.957,1.9,98.1,0.01,463.5871,3517636
lessthan 32000,1dice8EMZmqKvrGE4Qc9bUFf9PX3xaYDp,48.8281,2.004,1.9,98.1,0.01,441.9523,3524394
lessthan 24000,1dice7W2AicHosf5EL3GFDUVga7TgtPFn,36.6211,2.67,1.9,98.1,0.01,396.0801,3524243
lessthan 16000,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx,24.4141,4.003,1.9,98.1,0.01,321.1334,3534212
lessthan 12000,1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1,18.3105,5.335,1.9,98.1,0.01,222.424,3535501
lessthan 8000,1dice6YgEVBf88erBFra9BHf6ZMoyvG88,12.207,8.0,1.9,98.1,0.01,176.8535,3525822
lessthan 6000,1dice6wBxymYi3t94heUAG6MpG5eceLG1,9.1553,10.666,1.9,98.1,0.01,176.7836,3532515
lessthan 4000,1dice6GV5Rz2iaifPvX7RMjfhaNPC8SXH,6.1035,15.996,1.9,98.1,0.01,113.9458,3541441
lessthan 3000,1dice6gJgPDYz8PLQyJb8cgPBnmWqCSuF,4.5776,21.326,1.9,98.1,0.01,84.0648,3572642
lessthan 2000,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,3.0518,31.987,1.9,98.1,0.01,86.8392,3517234
lessthan 1500,1dice61SNWEKWdA8LN6G44ewsiQfuCvge,2.2888,42.647,1.9,98.1,0.01,64.6107,3577280
lessthan 1000,1dice5wwEZT2u6ESAdUGG6MHgCpbQqZiy,1.5259,63.968,1.9,98.1,0.01,42.7335,3526385
lessthan 512,1dice4J1mFEvVuFqD14HzdViHFGi9h4Pp,0.7813,124.933,1.9,98.1,0.01,21.7121,3545893
lessthan 256,1dice3jkpTvevsohA4Np1yP4uKzG1SRLv,0.3906,249.861,1.9,98.1,0.01,10.8126,3552405
lessthan 128,1dice37EemX64oHssTreXEFT3DXtZxVXK,0.1953,499.717,1.9,98.1,0.01,5.3955,3524166
lessthan 64,1dice2zdoxQHpGRNaAWiqbK82FQhr4fb5,0.0977,999.429,1.9,98.1,0.01,4.6861,3524641
lessthan 32,1dice2xkjAAiphomEJA5NoowpuJ18HT1s,0.0488,1998.853,1.9,98.1,0.01,2.3419,3523985
lessthan 16,1dice2WmRTLf1dEk4HH3Xs8LDuXzaHEQU,0.0244,3997.701,1.9,98.1,0.01,1.1706,3526418
lessthan 8,1dice2vQoUkQwDMbfDACM1xz6svEXdhYb,0.0122,7995.397,1.9,98.1,0.01,0.5852,3534955
lessthan 4,1dice2pxmRZrtqBVzixvWnxsMa7wN2GCK,0.0061,15990.789,1.9,98.1,0.01,0.2926,3542581
lessthan 2,1dice1Qf4Br5EYjj9rnHWqgMVYnQWehYG,0.0031,31981.573,1.9,98.1,0.01,0.1463,3557467
lessthan 1,1dice1e6pdhLzzWQq7yMidf6j8eAg7pkY,0.0015,64000.0,1.844,98.156,0.01,0.0731,3525858
