chainLength,chainCount,simpleBetCount,chainPercentage
1,130859,130859,60.868331573537006
2,38191,76382,17.7643299362287
3,17011,51033,7.912571457809077
4,8416,33664,3.914655304739356
5,5335,26675,2.481545395768116
6,3246,19476,1.5098587356444808
7,2195,15365,1.0209919669561414
8,1641,13128,0.7633019670956849
9,1282,11538,0.5963151260308763
10,970,9700,0.45119007195783933
11,730,8030,0.3395554149785801
12,595,7140,0.2767609204277468
13,501,6513,0.23303734644420362
14,413,5782,0.1921046388851419
15,346,5190,0.16093996381176537
16,326,5216,0.15163707573016041
17,281,4777,0.13070557754654932
18,246,4428,0.1144255234037407
19,199,3781,0.0925637364119691
20,186,3720,0.08651685915892589
21,133,2793,0.06186420574267282
22,152,3344,0.0707019494201975
23,98,2254,0.045584151599864176
24,115,2760,0.053491606469228375
25,100,2500,0.046514440408024674
26,92,2392,0.042793285175382695
27,70,1890,0.03256010828561727
28,77,2156,0.03581611911417899
29,81,2349,0.03767669673049998
30,71,2130,0.03302525268969752
31,48,1488,0.022326931395851842
32,56,1792,0.026048086628493814
33,50,1650,0.023257220204012337
34,48,1632,0.022326931395851842
35,44,1540,0.020466353779530856
36,37,1332,0.017210342950969126
37,31,1147,0.014419476526487647
38,36,1368,0.01674519854688888
39,27,1053,0.012558898910166661
40,25,1000,0.011628610102006168
41,24,984,0.011163465697925921
42,24,1008,0.011163465697925921
43,22,946,0.010233176889765428
44,20,880,0.009302888081604935
45,24,1080,0.011163465697925921
46,19,874,0.008837743677524688
47,14,658,0.0065120216571234535
48,17,816,0.007907454869364193
49,17,833,0.007907454869364193
50,15,750,0.0069771660612037
51,14,714,0.0065120216571234535
52,16,832,0.007442310465283947
53,15,795,0.0069771660612037
54,18,972,0.00837259927344444
55,14,770,0.0065120216571234535
56,14,784,0.0065120216571234535
57,10,570,0.0046514440408024675
58,11,638,0.005116588444882714
59,8,472,0.0037211552326419737
60,16,960,0.007442310465283947
61,11,671,0.005116588444882714
62,8,496,0.0037211552326419737
63,9,567,0.00418629963672222
64,9,576,0.00418629963672222
65,12,780,0.0055817328489629605
66,16,1056,0.007442310465283947
67,9,603,0.00418629963672222
68,6,408,0.0027908664244814803
69,8,552,0.0037211552326419737
70,7,490,0.0032560108285617268
71,4,284,0.0018605776163209868
72,5,360,0.0023257220204012338
73,5,365,0.0023257220204012338
74,1,74,0.0004651444040802467
75,6,450,0.0027908664244814803
76,6,456,0.0027908664244814803
77,5,385,0.0023257220204012338
78,8,624,0.0037211552326419737
79,5,395,0.0023257220204012338
80,5,400,0.0023257220204012338
81,8,648,0.0037211552326419737
82,3,246,0.0013954332122407401
83,4,332,0.0018605776163209868
84,3,252,0.0013954332122407401
85,1,85,0.0004651444040802467
86,4,344,0.0018605776163209868
87,4,348,0.0018605776163209868
88,1,88,0.0004651444040802467
89,3,267,0.0013954332122407401
90,3,270,0.0013954332122407401
91,1,91,0.0004651444040802467
92,3,276,0.0013954332122407401
93,2,186,0.0009302888081604934
94,3,282,0.0013954332122407401
95,1,95,0.0004651444040802467
96,2,192,0.0009302888081604934
97,3,291,0.0013954332122407401
98,5,490,0.0023257220204012338
99,4,396,0.0018605776163209868
100,3,300,0.0013954332122407401
101,1,101,0.0004651444040802467
102,2,204,0.0009302888081604934
103,1,103,0.0004651444040802467
104,1,104,0.0004651444040802467
105,3,315,0.0013954332122407401
106,1,106,0.0004651444040802467
107,1,107,0.0004651444040802467
109,3,327,0.0013954332122407401
110,2,220,0.0009302888081604934
111,3,333,0.0013954332122407401
112,3,336,0.0013954332122407401
113,1,113,0.0004651444040802467
114,5,570,0.0023257220204012338
116,2,232,0.0009302888081604934
119,2,238,0.0009302888081604934
121,1,121,0.0004651444040802467
122,1,122,0.0004651444040802467
123,3,369,0.0013954332122407401
125,2,250,0.0009302888081604934
126,2,252,0.0009302888081604934
128,2,256,0.0009302888081604934
129,1,129,0.0004651444040802467
132,1,132,0.0004651444040802467
133,2,266,0.0009302888081604934
134,1,134,0.0004651444040802467
135,1,135,0.0004651444040802467
137,1,137,0.0004651444040802467
138,1,138,0.0004651444040802467
139,1,139,0.0004651444040802467
140,1,140,0.0004651444040802467
142,1,142,0.0004651444040802467
143,1,143,0.0004651444040802467
144,1,144,0.0004651444040802467
145,1,145,0.0004651444040802467
147,2,294,0.0009302888081604934
149,1,149,0.0004651444040802467
151,1,151,0.0004651444040802467
152,1,152,0.0004651444040802467
153,1,153,0.0004651444040802467
155,1,155,0.0004651444040802467
158,1,158,0.0004651444040802467
159,1,159,0.0004651444040802467
166,1,166,0.0004651444040802467
168,1,168,0.0004651444040802467
173,1,173,0.0004651444040802467
174,1,174,0.0004651444040802467
181,1,181,0.0004651444040802467
183,1,183,0.0004651444040802467
192,1,192,0.0004651444040802467
199,1,199,0.0004651444040802467
205,1,205,0.0004651444040802467
207,1,207,0.0004651444040802467
212,1,212,0.0004651444040802467
219,2,438,0.0009302888081604934
225,1,225,0.0004651444040802467
229,1,229,0.0004651444040802467
233,1,233,0.0004651444040802467
235,1,235,0.0004651444040802467
243,1,243,0.0004651444040802467
246,1,246,0.0004651444040802467
273,1,273,0.0004651444040802467
293,1,293,0.0004651444040802467
352,1,352,0.0004651444040802467
442,1,442,0.0004651444040802467
717,1,717,0.0004651444040802467
