chainId,chainLength,startTxId,endTxId,startTimestamp,endTimestamp,durationSeconds
29215,717,3817660,3834923,1339084266,1339126400,42134
31516,442,3855077,3900773,1339201696,1339318358,116662
27372,352,3790512,3802058,1339008282,1339040326,32044
21971,293,3707250,3713239,1338803546,1338812155,8609
12065,273,3419036,3467481,1337861529,1338021268,159739
32291,246,3868445,4000956,1339240360,1339577304,336944
159535,243,8063560,8281722,1350454695,1351026154,571459
27989,235,3799444,4285153,1339037301,1340082051,1044750
23991,233,3740182,3742539,1338864523,1338871163,6640
23862,229,3736704,3739223,1338855010,1338860518,5508
119313,225,6767294,6782826,1346835941,1346865871,29930
58665,219,4290753,4328912,1340092820,1340183147,90327
104782,219,6371647,6444687,1345866871,1346068534,201663
183001,212,9077412,9082725,1353431215,1353441245,10030
194679,207,9663867,9668306,1354996815,1355004101,7286
37478,205,3939580,3998539,1339404409,1339572139,167730
27191,199,3786878,4116693,1338997278,1339745302,748024
23179,192,3726311,3747615,1338835485,1338878604,43119
165434,183,8238159,8242476,1350929889,1350935841,5952
65924,181,4609420,4643678,1341119336,1341254520,135184
52802,174,4181381,4201214,1339852095,1339903328,51233
39183,173,3978636,4285171,1339545824,1340082051,536227
29512,168,3823688,4059144,1339102423,1339665000,562577
45077,166,4053100,4089355,1339661692,1339708329,46637
23656,159,3733044,3736497,1338846489,1338852361,5872
25590,158,3760023,4288132,1338897650,1340087497,1189847
25589,155,3760022,3887308,1338897650,1339289508,391858
55804,153,4245638,4282463,1339989973,1340075620,85647
165651,152,8241790,8246241,1350935315,1350939857,4542
175778,151,8840466,8855691,1352843377,1352885770,42393
198580,149,9881528,9899756,1355494198,1355539736,45538
27171,147,3783445,3793795,1338968348,1339017564,49216
46741,147,4086929,4092748,1339704670,1339712244,7574
111412,145,6548401,6573233,1346348279,1346399928,51649
42540,144,4012911,4047974,1339590939,1339650933,59994
43634,143,4030422,4053510,1339618745,1339661692,42947
14290,142,3453756,3460535,1337964973,1337987636,22663
165425,140,8237488,8248324,1350928195,1350943496,15301
180714,139,9024273,9031391,1353301120,1353326074,24954
22912,138,3719212,3723999,1338821383,1338828184,6801
136912,137,7336028,7380190,1348389316,1348516246,126930
147807,135,7721156,7774017,1349538236,1349670156,131920
43540,134,4029603,4051659,1339617305,1339655116,37811
30239,133,3834953,4178817,1339126870,1339846586,719716
165424,133,8237487,8248272,1350928195,1350943496,15301
116013,132,6679369,6688913,1346638769,1346659919,21150
146828,129,7699678,7774388,1349481429,1349671177,189748
25740,128,3761746,3767872,1338898989,1338910594,11605
165650,128,8241789,8267254,1350935315,1350979194,43879
22907,126,3719207,3723914,1338821383,1338828184,6801
201229,126,9982639,9987378,1355745438,1355754818,9380
37459,125,3939278,4000027,1339401619,1339573170,171551
47237,125,4094833,4285170,1339715236,1340082051,366815
42316,123,4010162,4062527,1339588753,1339668899,80146
92084,123,5975540,5976650,1344993991,1344996203,2212
144262,123,7636711,7696077,1349322934,1349475691,152757
29777,122,3826656,4233146,1339107045,1339963598,856553
178616,121,8936341,8951706,1353081275,1353115035,33760
13696,119,3445187,3451901,1337936853,1337958543,21690
162900,119,8192075,8201745,1350814473,1350842573,28100
41126,116,3997372,4007342,1339571248,1339582607,11359
49874,116,4128964,4269668,1339758933,1340044806,285873
26587,114,3771919,3775828,1338920858,1338926207,5349
70733,114,5020174,5025770,1342517261,1342528278,11017
72067,114,5124338,5147690,1342786111,1342841650,55539
116189,114,6684077,6685899,1346647479,1346652501,5022
165433,114,8238158,8240862,1350929889,1350934186,4297
51324,113,4154656,4286329,1339809460,1340085443,275983
9933,112,3382380,3410915,1337743665,1337840530,96865
22915,112,3719215,3723839,1338821383,1338828184,6801
53573,112,4200948,4223273,1339903328,1339943631,40303
43851,111,4033019,4117455,1339626393,1339748136,121743
50680,111,4143107,4149777,1339790699,1339796794,6095
205485,111,10100529,10103050,1355965342,1355971322,5980
22955,110,3720207,3724863,1338824047,1338831540,7493
58795,110,4292750,4301937,1340097928,1340115984,18056
27555,109,3793155,3801558,1339016388,1339040149,23761
30745,109,3844709,4120711,1339172099,1339752234,580135
137872,109,7368065,7370259,1348483996,1348489865,5869
145019,107,7659565,7707597,1349387214,1349501935,114721
58134,106,4281161,4364236,1340071403,1340290303,218900
13492,105,3442391,3447517,1337932998,1337942947,9949
70732,105,5020173,5025734,1342517261,1342528278,11017
182864,105,9074092,9077238,1353423793,1353430203,6410
44815,104,4048490,4060523,1339653243,1339667704,14461
183008,103,9078283,9094795,1353431809,1353464994,33185
22167,102,3710149,3715635,1338807656,1338815047,7391
165436,102,8238169,8242396,1350929889,1350935841,5952
183722,101,9097260,9102969,1353467489,1353480440,12951
24246,100,3745350,3757581,1338876240,1338892201,15961
76968,100,5391509,5509007,1343518014,1343796275,278261
139565,100,7423452,7424098,1348661287,1348661287,0
42989,99,4017072,4123969,1339595551,1339753266,157715
144481,99,7645072,7693651,1349354419,1349469558,115139
156527,99,7977962,8008101,1350227928,1350317753,89825
165422,99,8237294,8243348,1350927567,1350936701,9134
23715,98,3733690,3736375,1338848876,1338852361,3485
44209,98,4037720,4047510,1339635765,1339650456,14691
86282,98,5734664,5741648,1344414523,1344430316,15793
194039,98,9634047,9640005,1354914457,1354928137,13680
205135,98,10087164,10089188,1355934820,1355939624,4804
52095,97,4170360,4286323,1339833720,1340085443,251723
122134,97,6891073,6941480,1347120391,1347253128,132737
179006,97,8951223,8964677,1353115035,1353153679,38644
50956,96,4150320,4169344,1339799724,1339830406,30682
176831,96,8878299,8878927,1352948397,1352948846,449
30340,95,3837184,4229878,1339135426,1339957066,821640
22672,94,3715252,3717136,1338813701,1338816101,2400
27934,94,3798611,3812174,1339031639,1339068538,36899
56255,94,4252052,4257738,1340003640,1340015666,12026
20241,93,3672206,3679609,1338727968,1338742726,14758
148790,93,7743117,7744106,1349605497,1349607232,1735
54411,92,4219174,4239994,1339936974,1339981003,44029
