period,addressId,diceName,bet_count
2012-04-21,3524394,lessthan 32000,0
2012-04-21,3517636,lessthan 32768,2
2012-04-21,3517367,lessthan 48000,1
2012-04-22,3524394,lessthan 32000,2
2012-04-22,3517636,lessthan 32768,20
2012-04-22,3517367,lessthan 48000,0
2012-04-23,3524394,lessthan 32000,0
2012-04-23,3517636,lessthan 32768,4
2012-04-23,3517367,lessthan 48000,0
2012-04-24,3524394,lessthan 32000,12
2012-04-24,3517636,lessthan 32768,13
2012-04-24,3517367,lessthan 48000,7
2012-04-25,3524394,lessthan 32000,191
2012-04-25,3517636,lessthan 32768,64
2012-04-25,3517367,lessthan 48000,4
2012-04-26,3524394,lessthan 32000,43
2012-04-26,3517636,lessthan 32768,23
2012-04-26,3517367,lessthan 48000,29
2012-04-27,3524394,lessthan 32000,26
2012-04-27,3517636,lessthan 32768,16
2012-04-27,3517367,lessthan 48000,10
2012-04-28,3524394,lessthan 32000,33
2012-04-28,3517636,lessthan 32768,88
2012-04-28,3517367,lessthan 48000,56
2012-04-29,3524394,lessthan 32000,207
2012-04-29,3517636,lessthan 32768,109
2012-04-29,3517367,lessthan 48000,59
2012-04-30,3524394,lessthan 32000,129
2012-04-30,3517636,lessthan 32768,175
2012-04-30,3517367,lessthan 48000,228
2012-05-01,3524394,lessthan 32000,216
2012-05-01,3517636,lessthan 32768,173
2012-05-01,3517367,lessthan 48000,136
2012-05-02,3524394,lessthan 32000,387
2012-05-02,3517636,lessthan 32768,130
2012-05-02,3517367,lessthan 48000,191
2012-05-03,3524394,lessthan 32000,596
2012-05-03,3517636,lessthan 32768,983
2012-05-03,3517367,lessthan 48000,362
2012-05-04,3524394,lessthan 32000,786
2012-05-04,3517636,lessthan 32768,936
2012-05-04,3517367,lessthan 48000,449
2012-05-05,3524394,lessthan 32000,1065
2012-05-05,3517636,lessthan 32768,426
2012-05-05,3517367,lessthan 48000,637
2012-05-06,3524394,lessthan 32000,906
2012-05-06,3517636,lessthan 32768,269
2012-05-06,3517367,lessthan 48000,279
2012-05-07,3524394,lessthan 32000,1388
