period,addressId,diceName,bet_count
2012-04-16/2012-04-22,3524394,lessthan 32000,2
2012-04-16/2012-04-22,3517636,lessthan 32768,22
2012-04-16/2012-04-22,3517367,lessthan 48000,1
2012-04-23/2012-04-29,3524394,lessthan 32000,512
2012-04-23/2012-04-29,3517636,lessthan 32768,317
2012-04-23/2012-04-29,3517367,lessthan 48000,165
2012-04-30/2012-05-06,3524394,lessthan 32000,4085
2012-04-30/2012-05-06,3517636,lessthan 32768,3092
2012-04-30/2012-05-06,3517367,lessthan 48000,2282
2012-05-07/2012-05-13,3524394,lessthan 32000,10477
2012-05-07/2012-05-13,3517636,lessthan 32768,10300
2012-05-07/2012-05-13,3517367,lessthan 48000,3947
2012-05-14/2012-05-20,3524394,lessthan 32000,9604
2012-05-14/2012-05-20,3517636,lessthan 32768,37808
2012-05-14/2012-05-20,3517367,lessthan 48000,9134
2012-05-21/2012-05-27,3524394,lessthan 32000,36551
2012-05-21/2012-05-27,3517636,lessthan 32768,12656
2012-05-21/2012-05-27,3517367,lessthan 48000,8681
2012-05-28/2012-06-03,3524394,lessthan 32000,16351
2012-05-28/2012-06-03,3517636,lessthan 32768,15241
2012-05-28/2012-06-03,3517367,lessthan 48000,20139
2012-06-04/2012-06-10,3524394,lessthan 32000,66369
2012-06-04/2012-06-10,3517636,lessthan 32768,4061
2012-06-04/2012-06-10,3517367,lessthan 48000,5273
2012-06-11/2012-06-17,3524394,lessthan 32000,80488
2012-06-11/2012-06-17,3517636,lessthan 32768,8001
2012-06-11/2012-06-17,3517367,lessthan 48000,3986
2012-06-18/2012-06-24,3524394,lessthan 32000,31261
2012-06-18/2012-06-24,3517636,lessthan 32768,9279
2012-06-18/2012-06-24,3517367,lessthan 48000,7464
2012-06-25/2012-07-01,3524394,lessthan 32000,14893
2012-06-25/2012-07-01,3517636,lessthan 32768,5181
2012-06-25/2012-07-01,3517367,lessthan 48000,4843
2012-07-02/2012-07-08,3524394,lessthan 32000,10416
2012-07-02/2012-07-08,3517636,lessthan 32768,8439
2012-07-02/2012-07-08,3517367,lessthan 48000,3159
2012-07-09/2012-07-15,3524394,lessthan 32000,7391
2012-07-09/2012-07-15,3517636,lessthan 32768,6773
2012-07-09/2012-07-15,3517367,lessthan 48000,7976
