chainRank,chainId,chainLength,addresses,resolvedAddresses,unresolvedAddresses,distinctWallets,dominantWalletId,dominantWalletName,dominantWalletAddressCount,dominantWalletShare,conclusion
1,29215,717,718,718,0,76,0025d633f88ba307,[0025d633f8],359,0.5,multiple_wallets
2,31516,442,443,443,0,2,00002c4379b1827f,[00002c4379],442,0.9977426636568849,mostly_single_wallet
3,27372,352,353,353,0,5,0025d633f88ba307,[0025d633f8],279,0.7903682719546742,multiple_wallets
4,21971,293,294,294,0,5,000f35cb33c4d172,[000f35cb33],222,0.7551020408163265,multiple_wallets
5,12065,273,274,274,0,2,000305c34ca27efe,[000305c34c],273,0.9963503649635036,mostly_single_wallet
6,32291,246,247,247,0,21,001b861dc58d5ac3,[001b861dc5],133,0.5384615384615384,multiple_wallets
7,159535,243,244,244,0,25,004bf37491a806d0,[004bf37491],175,0.7172131147540983,multiple_wallets
8,27989,235,236,236,0,11,0005f727dbee0bf6,[0005f727db],208,0.8813559322033898,multiple_wallets
9,23991,233,234,234,0,3,0012ea9acfdf3b20,[0012ea9acf],219,0.9358974358974359,mostly_single_wallet
10,23862,229,230,230,0,36,0012ea9acfdf3b20,[0012ea9acf],181,0.7869565217391304,multiple_wallets
